,Year,State,TMAX_AVG,Population,meat_consumption,co2_emission,petroleum_emission,natural_gas_emission,electricity_emission,coal_emission,coal_consumption,natural_gas_consumption,petroleum_consumption
57,1991,DE,201.86986301369862,680495.0,10133.0,17.4,9.8,2.3,7.9,5.4,1380623.3333333333,9587802.666666666,2749087.3333333335
58,1991,FL,283.13365031287685,13289497.0,380784.0,188.9,108.5,19.0,93.9,61.9,12622333.0,84240907.2,16428145.0
59,1991,GA,240.32554147835629,6621279.0,482318.0,130.8,52.5,17.5,56.4,61.3,16848039.333333332,4840462.666666667,588014.5
60,1991,HI,263.059767940822,1131412.0,36576.0,19.6,19.4,0.1,6.3,0.1,3703.3333333333335,0.0,6732014.0
61,1991,IA,151.42090561294796,2791227.0,4848154.0,64.8,19.2,12.5,27.4,33.2,6563579.2,1950728.6666666667,48352.0
62,1991,ID,130.90761656012333,1038915.0,681177.0,12.0,8.1,2.8,0.0,1.2,7849.0,1100325.0,650.0
63,1991,IL,176.75109209259716,11535973.0,1914944.0,190.8,66.1,53.3,58.9,72.0,18925622.666666668,7525001.2,1220642.8
64,1991,IN,175.16992830773702,5602062.0,1137127.0,200.6,49.6,24.5,96.9,127.2,24111054.5,8276184.5,546811.5
65,1991,KS,204.05516011741102,2495209.0,4561714.0,67.6,22.5,19.8,27.2,25.6,14731871.0,25869726.666666668,144148.66666666666
66,1991,KY,205.0100830083837,3714686.0,920847.0,117.7,31.3,10.3,69.1,76.4,31431688.0,227130.0,228127.0
67,1991,LA,247.17107950164373,4240950.0,227585.0,205.4,101.1,84.6,34.5,20.4,8290134.666666667,126928483.66666667,55701.0
68,1991,MA,159.73733889424105,5998652.0,16033.0,81.9,56.0,15.0,26.5,11.2,2193792.5,20389844.666666668,8525265.333333334
69,1991,MD,199.19665752965204,4856176.0,108341.0,68.8,33.2,9.7,26.2,26.1,5819616.0,9469977.5,3142065.6
70,1991,ME,120.95380433612887,1235439.0,27956.0,18.5,16.8,0.3,1.7,1.5,160237.5,502653.3333333333,1226660.3333333333
71,1991,MI,136.20261996384917,9395022.0,504795.0,178.4,58.3,47.9,67.8,72.7,12267002.0,29663240.666666668,472914.3333333333
72,1991,MN,118.76048611445465,4427429.0,1888903.0,78.2,33.0,16.8,28.1,28.7,10946608.666666666,4902033.0,533927.0
73,1991,MO,197.3544795500357,5157770.0,1472150.0,102.2,38.0,13.7,48.4,50.8,12216267.0,6534170.5,144156.0
