,State,PRCP_AVG_old,SNOW_AVG_old,TAVG_AVG_old,TMAX_AVG_old,TMIN_AVG_old,PRCP_MAX_old,SNOW_MAX_old,TAVG_MAX_old,TMAX_MAX_old,TMIN_MAX_old,PRCP_MIN_old,SNOW_MIN_old,TAVG_MIN_old,TMAX_MIN_old,TMIN_MIN_old,PRCP_CNT_old,SNOW_CNT_old,PRCP_CHG_old,SNOW_CHG_old,TMAX_CHG_old,TMIN_CHG_old,TAVG_CHG_old,PRCP_AVG,SNOW_AVG,TAVG_AVG,TMAX_AVG,TMIN_AVG,PRCP_MAX,SNOW_MAX,TAVG_MAX,TMAX_MAX,TMIN_MAX,PRCP_MIN,SNOW_MIN,TAVG_MIN,TMAX_MIN,TMIN_MIN,PRCP_CHG,SNOW_CHG,TMAX_CHG,TMIN_CHG,TAVG_CHG,PRCP_CNT,SNOW_CNT,PRCP_max_yoy,SNOW_max_yoy,TMAX_max_yoy,TMIN_max_yoy,TAVG_max_yoy,TAVG_avg_yoy,TMIN_avg_yoy,TMAX_avg_yoy,PRCP_min_yoy,SNOW_min_yoy,TMAX_min_yoy,TMIN_min_yoy,TAVG_min_yoy,PRCP_CNT_yoy,SNOW_CNT_yoy,PRCP_CHG_yoy,SNOW_CHG_yoy,TMAX_CHG_yoy,TMIN_CHG_yoy,TAVG_CHG_yoy,Cluster
12,IA,24.666492574052242,2.265681169540926,99.00128693957046,150.6244601027995,32.77591074970708,458.772,218.15789469999996,318.5,359.5166667,243.9380531,0.0,0.0,-242.0,-177.3583333,-313.5416667,3234.0,968.0,458.772,218.15789469999996,536.875,557.4797198,560.5,27.897959980562966,2.454875426177163,107.1725082146769,149.92673934473612,33.177153065600464,571.2148437999999,161.31455400000002,316.5,374.1101695,244.9916667,0.0,0.0,-243.5,-209.8053097,-316.12280699999997,571.2148437999999,161.31455400000002,583.9154791999999,561.1144737,560.0,3146.0,946.0,112.44284379999993,-56.84334069999994,14.59350280000001,1.0536136000000056,-2.0,8.171221275106433,0.4012423158933842,-0.6977207580633831,0.0,0.0,-32.44697640000001,-2.5811402999999586,-1.5,-88.0,-22.0,112.44284379999993,-56.84334069999994,47.040479199999936,3.6347538999999642,-0.5,2
13,ID,17.810408685403,3.307933463595674,55.09873818576482,133.75465464374264,0.20216704306788447,190.5287356,100.4942529,258.133758,369.4313725,170.43921569999998,0.0,0.0,-179.1283784,-111.52799999999999,-223.0376569,3614.0,1532.0,190.5287356,100.4942529,480.9593725,393.4768726,437.26213640000003,18.964736490250285,3.7383829384389387,58.05184785303427,131.46701057423329,3.959663772814071,208.72197309999999,91.34693878,248.69798659999998,357.0352423,165.12173909999999,0.0,0.0,-182.8068966,-122.74107140000001,-227.9210526,208.72197309999999,91.34693878,479.7763137,393.04279169999995,431.5048832,3637.0,1538.0,18.19323749999998,-9.147314120000004,-12.396130200000016,-5.317476599999992,-9.435771400000021,2.9531096672694446,3.7574967297461863,-2.287644069509355,0.0,0.0,-11.213071400000018,-4.883395699999994,-3.678518199999985,23.0,6.0,18.19323749999998,-9.147314120000004,-1.1830587999999693,-0.4340809000000263,-5.7572532000000365,0
14,IL,28.376433953789217,1.476294402219542,129.3349527981223,170.7557452112569,56.607117112227215,467.7162427,139.490566,304.6666667,366.2561983,240.35483870000002,0.0,0.0,-166.75,-149.1864407,-256.0840336,3431.0,1236.0,467.7162427,139.490566,515.442639,496.4388723,471.4166667,30.173601971726413,1.965194374567633,143.51811792694218,169.5827609477132,57.143216378209566,601.413913,242.6477273,329.0,388.965812,244.6446281,0.0,0.0,-170.0,-181.37142859999997,-263.8061224,601.413913,242.6477273,570.3372406,508.4507505,499.0,3435.0,972.0,133.69767029999997,103.15716130000001,22.709613700000034,4.289789399999989,24.333333299999993,14.183165128819894,0.5360992659823509,-1.1729842635436967,0.0,0.0,-32.18498789999998,-7.7220887999999945,-3.25,4.0,-264.0,133.69767029999997,103.15716130000001,54.89460159999999,12.011878200000012,27.583333299999993,2
15,IN,31.853652551707064,1.607796786352038,117.84779176980103,168.31640755543958,56.87952686371528,485.0666666999999,177.09615380000002,290.8,345.3424658,238.3880597,0.0,0.0,-172.33333330000002,-147.5,-255.41095890000003,3372.0,890.0,485.0666666999999,177.09615380000002,492.8424658,493.79901860000007,463.1333333,32.74877345201017,2.030048825916757,124.1667259948885,169.39944638089858,58.826518122120234,502.2659574,168.2804428,308.5,388.03846150000004,240.1428571,0.0,0.0,-183.8,-170.8550725,-244.7222222,502.2659574,168.2804428,558.893534,484.8650793,492.3,3449.0,869.0,17.199290700000063,-8.815711000000022,42.695995700000026,1.7547973999999726,17.69999999999999,6.31893422508746,1.9469912584049567,1.083038825458999,0.0,0.0,-23.355072500000006,10.688736700000021,-11.46666669999999,77.0,-21.0,17.199290700000063,-8.815711000000022,66.05106820000003,-8.933939300000077,29.166666700000007,2
16,KS,21.485288768235158,1.1168992921579532,132.35500409229024,197.78980931361676,58.1226431773395,379.2733333,126.6283422,327.8333333,406.5034014,248.2517007,0.0,0.0,-144.66666669999998,-106.17482520000002,-213.4305556,3238.0,830.0,379.2733333,126.6283422,512.6782266,461.68225629999995,472.5,23.670552773838757,1.219591075819826,135.707908908448,200.20607492891304,59.04775358776871,541.9530284,150.2725367,335.0,411.3691275,243.8150685,0.0,0.0,-164.0,-125.3028169,-239.77941180000002,541.9530284,150.2725367,536.6719444,483.5944803,499.0,3228.0,761.0,162.6796951,23.644194499999983,4.865726100000018,-4.436632199999991,7.1666667000000075,3.3529048161577464,0.9251104104292125,2.4162656152962825,0.0,0.0,-19.12799169999998,-26.34885620000003,-19.33333330000002,-10.0,-69.0,162.6796951,23.644194499999983,23.993717800000013,21.912224000000037,26.5,2
17,KY,34.81475561295698,0.49702558134683805,141.33891699440466,197.97301791818714,76.11356949843014,696.9256197999999,69.47402597,308.4545455,379.2857143,231.2028986,0.0,0.0,-136.875,-78.12903226,-179.1558442,3398.0,582.0,696.9256197999999,69.47402597,457.41474656,410.35874279999996,445.3295455,39.2575781541323,0.9922227221872952,141.6230465937211,197.40565687977215,76.94056925546494,666.9578947000001,190.8108108,310.625,398.0,231.9,0.0,0.0,-152.2727273,-97.08450704,-238.2432432,666.9578947000001,190.8108108,495.08450704,470.14324320000003,462.89772730000004,3405.0,533.0,-29.967725099999825,121.33678483000001,18.714285700000005,0.6971014000000082,2.1704545000000053,0.28412959931645787,0.8269997570347982,-0.5673610384149868,0.0,0.0,-18.955474780000003,-59.087399000000005,-15.397727300000014,7.0,-49.0,-29.967725099999825,121.33678483000001,37.66976047999998,59.78450040000007,17.568181800000048,2
18,LA,40.67219902787194,0.017328503773063234,192.69392589486645,251.61938604338908,135.5583151501008,757.0463576000001,21.12230216,320.1,401.52941180000005,269.1940299,0.0,-0.087837838,-20.4,23.68656716,-67.11940299,3377.0,46.0,757.0463576000001,21.210139998,377.84284464000007,336.31343288999994,340.5,44.06941079630727,0.05464372008269442,198.70812796651265,253.17558160872582,141.42621709667623,1058.7071429999999,44.8,323.5,387.15625,263.171875,0.0,0.0,-47.66666667,2.8636363639999995,-96.06382979,1058.7071429999999,44.8,384.292613636,359.23570479,371.16666667,3339.0,43.0,301.6607853999998,23.677697839999997,-14.373161800000048,-6.022154899999975,3.3999999999999773,6.014202071646196,5.867901946575415,1.5561955653367363,0.0,0.087837838,-20.822930796,-28.944426800000002,-27.26666667,-38.0,-3.0,301.6607853999998,23.589860001999998,6.449768995999932,22.922271900000055,30.666666669999984,2
19,MA,35.1779008991024,3.9398952323758527,117.88802188295404,149.23936995074473,41.067213540065865,756.1578947,349.05555560000005,600.0,349.2888889,233.1777778,0.0,0.0,-172.75,-130.5348837,-228.7380952,3258.0,900.0,756.1578947,349.05555560000005,479.8237726,461.91587300000003,772.75,34.68694309794139,3.905692288766426,108.0712643678161,153.17194299644765,44.85502726903561,669.137931,456.07317069999993,285.0,350.65306119999997,226.49019610000002,0.0,0.0,-140.0,-116.67346940000002,-241.27450980000003,669.137931,456.07317069999993,467.32653059999996,467.7647059000001,425.0,3279.0,838.0,-87.01996370000006,107.01761509999989,1.3641722999999502,-6.687581699999981,-315.0,-9.816757515137937,3.787813728969745,3.9325730457029238,0.0,0.0,13.861414299999979,-12.536414600000029,32.75,21.0,-62.0,-87.01996370000006,107.01761509999989,-12.497242000000028,5.848832900000048,-347.75,3
20,MD,32.38008512470212,1.4756179784407333,142.22283457338386,184.42382535662534,74.18691267695868,798.2151899,247.21428569999998,311.0,362.6,244.6785714,0.0,0.0,-89.5,-68.89285714,-163.03571430000002,2972.0,588.0,798.2151899,247.21428569999998,431.49285714,407.7142857,400.5,34.63747861795426,1.9058748532976435,147.07187842278205,182.43357542276027,78.53648638905422,1180.1774189999999,451.47560980000003,326.0,372.2307692,248.5384615,0.0,0.0,-114.0,-89.28571429,-175.66666669999998,1180.1774189999999,451.47560980000003,461.51648349,424.2051282,440.0,3154.0,623.0,381.96222909999983,204.26132410000005,9.630769199999975,3.859890100000001,15.0,4.849043849398186,4.349573712095534,-1.9902499338650728,0.0,0.0,-20.392857149999998,-12.630952399999956,-24.5,182.0,35.0,381.96222909999983,204.26132410000005,30.023626349999972,16.490842499999985,39.5,3
21,ME,33.158510234707386,6.024614284345466,68.29616916261186,116.30081096491513,1.7277020367399338,686.1666667000001,368.35384619999996,275.55555560000005,336.852459,196.6451613,0.0,0.0,-241.0,-215.2459016,-311.984375,3324.0,1298.0,686.1666667000001,368.35384619999996,552.0983606,508.62953630000004,516.5555556,34.50023224613102,6.260848490218237,80.21707283662589,122.2010166476825,9.496227149970132,832.0642857,347.0380952,286.25,332.4909091,201.4444444,0.0,0.0,-208.0,-193.08333330000002,-270.7666667,832.0642857,347.0380952,525.5742424,472.2111111,494.25,3312.0,1251.0,145.89761899999996,-21.315750999999977,-4.3615499,4.799283099999997,10.694444399999952,11.920903674014028,7.768525113230198,5.900205682767364,0.0,0.0,22.162568299999975,41.21770830000003,33.0,-12.0,-47.0,145.89761899999996,-21.315750999999977,-26.524118199999975,-36.41842520000006,-22.305555600000048,3
22,MI,23.86942118445611,5.224158771338635,67.12485999425468,130.8222827602939,21.837214841399167,430.60507249999995,136.2616822,275.44444439999995,343.15894039999995,224.602649,0.0,-0.080246914,-216.1818182,-136.2420382,-250.8067227,3552.0,1563.0,430.60507249999995,136.341929114,479.4009785999999,475.4093717,491.62626259999996,26.55725193784037,5.580266651528472,62.1855132949892,128.71818917072832,21.64128553146439,382.6360856,148.372,257.2727273,336.8950617,218.07471260000003,0.0,0.0,-224.4,-169.6619718,-297.96527779999997,382.6360856,148.372,506.5570335,516.0399904,481.6727273,3556.0,1560.0,-47.96898689999995,12.110317800000018,-6.263878699999964,-6.527936399999987,-18.171717099999967,-4.939346699265478,-0.19592930993477609,-2.104093589565565,0.0,0.080246914,-33.41993360000001,-47.15855509999997,-8.218181799999996,4.0,-3.0,-47.96898689999995,12.030070886000004,27.156054900000072,40.63061869999996,-9.953535299999942,0
23,MN,20.45980890784335,3.260767211644678,48.88985318027996,114.94732625212113,-0.7695739051256613,411.5102041,163.3283582,273.5185185,348.7463768,222.4954955,0.0,0.0,-289.1034483,-232.4932432,-340.4256757,3415.0,1439.0,411.5102041,163.3283582,581.2396200000001,562.9211712,562.6219668000001,24.144945277338948,4.015615373986578,49.164874915221546,111.648133661074,-1.6934225617995573,514.4275,159.44171780000002,273.037037,333.20945950000004,221.45033109999997,0.0,0.0,-325.1851852,-250.4740741,-379.15441180000005,514.4275,159.44171780000002,583.6835336,600.6047429,598.2222222,3478.0,1471.0,102.9172959,-3.886640399999976,-15.53691729999997,-1.0451644000000329,-0.4814815000000294,0.2750217349415891,-0.923848656673896,-3.299192591047131,0.0,0.0,-17.9808309,-38.72873610000005,-36.08173689999995,63.0,32.0,102.9172959,-3.886640399999976,2.4439135999999735,37.683571700000016,35.600255399999924,0
24,MO,30.280146399352056,0.7677246931193539,134.25022029798336,189.59014798144523,69.53741764131199,708.6408451,106.98402560000001,314.9090909,384.0,242.503876,0.0,0.0,-162.0,-98.45522388,-207.90476189999998,3335.0,644.0,708.6408451,106.98402560000001,482.45522388,450.4086379,476.9090909,32.192111327858655,1.0769850781941395,138.2147702384405,190.00623725162248,70.52490671600128,904.9951807,214.49462369999998,324.1818182,395.0496454,247.51094890000002,0.0,0.0,-186.75,-119.6046512,-229.9076923,904.9951807,214.49462369999998,514.6542966,477.4186412,510.9318182,3406.0,574.0,196.3543356,107.51059809999997,11.049645399999974,5.007072900000026,9.272727299999985,3.9645499404571467,0.987489074689293,0.4160892701772525,0.0,0.0,-21.14942732,-22.002930400000025,-24.75,71.0,-70.0,196.3543356,107.51059809999997,32.19907271999995,27.01000330000005,34.022727299999985,2
25,MS,40.75474204858946,0.03489058172159868,177.78103632535706,240.37580608593782,114.26885497886713,1067.970297,34.72826087,334.5,398.578125,238.6527778,0.0,0.0,-49.66666667,-3.088607595,-113.63291140000001,3153.0,66.0,1067.970297,34.72826087,401.666732595,352.2856892,384.16666667,43.972126155876474,0.11455857528477548,184.73733238692583,242.16802735131975,119.29866182364066,1002.0654210000001,68.75531915,310.9090909,382.27777779999997,252.83333330000002,0.0,0.0,-67.0,-25.42857143,-131.3333333,1002.0654210000001,68.75531915,407.70634922999994,384.1666666,377.9090909,3204.0,81.0,-65.90487599999994,34.027058280000006,-16.300347200000033,14.180555500000025,-23.590909099999976,6.956296061568764,5.029806844773532,1.7922212653819258,0.0,0.0,-22.339963835000002,-17.70042189999998,-17.333333330000002,51.0,15.0,-65.90487599999994,34.027058280000006,6.039616634999959,31.880977400000006,-6.25757576999996,2
26,MT,14.079695578487268,2.944789724633453,44.579622680614214,124.19200717051277,-9.229210950194902,172.3825503,90.63793103,242.9878788,359.25449100000003,181.4040698,0.0,0.0,-261.6898734,-196.17994099999999,-307.9850299,3646.0,1901.0,172.3825503,90.63793103,555.434432,489.3890997,504.6777522,16.117199270486566,4.596392582461125,43.82977851202347,120.17603892363393,-8.812264218517228,236.90231359999999,105.7896996,261.0192308,349.6182432,187.1313131,0.0,0.0,-263.7341772,-198.6237942,-322.7830189,236.90231359999999,105.7896996,548.2420374,509.914332,524.753408,3646.0,1889.0,64.5197633,15.151768570000002,-9.636247800000035,5.727243299999998,18.031352,-0.7498441685907409,0.41694673167767426,-4.015968246878842,0.0,0.0,-2.4438532000000066,-14.79798900000003,-2.044303799999966,0.0,-12.0,64.5197633,15.151768570000002,-7.192394600000057,20.525232300000027,20.07565580000005,0
27,NC,34.18975952237471,0.46568228459731686,154.90554535116345,211.90803011795464,87.83210718452627,641.8489208999999,112.3534137,303.44444439999995,368.72093019999994,233.27906980000003,0.0,0.0,-72.18181818,-31.5754717,-128.4433962,3459.0,708.0,641.8489208999999,112.3534137,400.2964018999999,361.72246600000005,375.62626257999995,39.012411191071934,0.8134754920807779,151.18121162324735,214.3804012726691,93.93195354758203,931.6216216,137.6978852,290.2727273,370.6538462,235.66153849999998,0.0,0.0,-100.6363636,-40.9453125,-149.0465116,931.6216216,137.6978852,411.5991587,384.7080501,390.90909089999997,3580.0,538.0,289.7727007000001,25.344471499999997,1.9329160000000343,2.382468699999947,-13.171717099999967,-3.724333727916104,6.099846363055761,2.472371154714466,0.0,0.0,-9.369840799999999,-20.603115400000007,-28.454545420000002,121.0,-170.0,289.7727007000001,25.344471499999997,11.302756800000054,22.985584099999926,15.282828320000021,2
28,ND,13.022077551131359,2.740561814627429,54.89607314420229,117.08644600535823,-11.744163480705726,243.03571430000002,130.77,304.55555560000005,376.9583333,215.1938776,0.0,-0.125,-301.6666667,-263.60606060000003,-362.4526316,3175.0,1414.0,243.03571430000002,130.895,640.5643939,577.6465092000001,606.2222223000001,15.403764819615818,3.753796615167035,48.287671791150935,113.0171448610076,-10.903856259282838,296.5,197.7682927,303.75,368.2957746,215.02298849999997,0.0,0.0,-296.4,-251.3478261,-347.4647887,296.5,197.7682927,619.6436007,562.4877772,600.15,3209.0,1340.0,53.46428569999998,66.99829269999998,-8.662558699999977,-0.1708891000000392,-0.8055556000000479,-6.608401353051356,0.8403072214228882,-4.069301144350632,0.0,0.125,12.258234500000043,14.987842900000032,5.26666670000003,34.0,-74.0,53.46428569999998,66.87329269999998,-20.92079320000005,-15.1587320000001,-6.072222300000135,0
29,NE,17.25794023877304,1.9207510674809747,95.38571148594424,171.013969097562,27.68989975623577,377.762963,140.19205300000002,315.25,386.9032258,225.048951,0.0,0.0,-232.88888889999998,-159.4864865,-251.9266667,3252.0,1258.0,377.762963,140.19205300000002,546.3897122999999,476.9756177,548.1388889,20.247081278245933,2.1935529768033954,69.83346296382271,168.25746064979083,25.820290117185042,332.37636360000005,134.2842105,298.6666667,382.7655172,215.22,0.0,0.0,-261.1111111,-163.125,-273.36363639999996,332.37636360000005,134.2842105,545.8905172,488.58363639999993,559.7777778,3306.0,1316.0,-45.386599399999966,-5.907842500000015,-4.137708599999996,-9.82895099999999,-16.583333299999993,-25.55224852212153,-1.8696096390507293,-2.756508447771182,0.0,0.0,-3.6385134999999877,-21.436969699999963,-28.222222200000033,54.0,58.0,-45.386599399999966,-5.907842500000015,-0.4991950999999517,11.608018699999946,11.638888899999984,0
