,State,date,metric_name,metric_value,var4
267660,OK,19910814,TMIN,161.9247311827957,1456.236559139785
267669,OK,19910815,PRCP,0.24157303370786518,767.6470588235294
267671,OK,19910815,SNOW,0.0,
267674,OK,19910815,TMAX,311.0105263157895,1451.8947368421052
267675,OK,19910815,TMIN,161.77659574468086,1458.8297872340424
267685,OK,19910816,PRCP,3.303370786516854,767.6470588235294
267687,OK,19910816,SNOW,0.0,
267690,OK,19910816,TMAX,333.1595744680851,1448.1914893617022
267691,OK,19910816,TMIN,184.6451612903226,1445.483870967742
267703,OK,19910817,PRCP,41.6123595505618,767.6470588235294
267705,OK,19910817,SNOW,0.0,
267708,OK,19910817,TMAX,340.13684210526316,1462.421052631579
267709,OK,19910817,TMIN,206.18947368421053,1462.421052631579
267721,OK,19910818,PRCP,18.348314606741575,767.6470588235294
267723,OK,19910818,SNOW,0.0,
267726,OK,19910818,TMAX,345.85263157894735,1462.421052631579
267727,OK,19910818,TMIN,182.8736842105263,1462.421052631579
267740,OK,19910819,PRCP,4.303370786516854,767.6470588235294
267742,OK,19910819,SNOW,0.0,
267745,OK,19910819,TMAX,342.1354166666667,1455.5208333333333
267746,OK,19910819,TMIN,188.13541666666666,1455.5208333333333
267755,OK,19910820,PRCP,8.752808988764045,767.6470588235294
267757,OK,19910820,SNOW,0.0,
267760,OK,19910820,TMAX,332.35051546391753,1459.0721649484535
267761,OK,19910820,TMIN,180.29896907216494,1459.0721649484535
267771,OK,19910821,PRCP,91.61581920903954,768.0473372781065
267773,OK,19910821,SNOW,0.0,
267776,OK,19910821,TMAX,319.875,1455.5208333333333
267777,OK,19910821,TMIN,191.125,1455.5208333333333
267790,OK,19910822,PRCP,4.322033898305085,768.0473372781065
267792,OK,19910822,SNOW,0.0,
267795,OK,19910822,TMAX,330.92783505154637,1459.0721649484535
267796,OK,19910822,TMIN,194.51546391752578,1459.0721649484535
267804,OK,19910823,PRCP,0.2303370786516854,767.6470588235294
267806,OK,19910823,SNOW,0.0,
267809,OK,19910823,TMAX,337.7368421052632,1452.9473684210527
267810,OK,19910823,TMIN,195.53684210526316,1452.9473684210527
267820,OK,19910824,PRCP,2.926553672316384,768.0473372781065
267822,OK,19910824,SNOW,0.0,
267825,OK,19910824,TMAX,338.72340425531917,1470.531914893617
267826,OK,19910824,TMIN,197.06382978723406,1470.531914893617
267838,OK,19910825,PRCP,5.067796610169491,768.0473372781065
267840,OK,19910825,SNOW,0.0,
267843,OK,19910825,TMAX,338.06315789473683,1474.0
267844,OK,19910825,TMIN,190.96842105263158,1474.0
267856,OK,19910826,PRCP,1.0280898876404494,767.6470588235294
267858,OK,19910826,SNOW,0.0,
267861,OK,19910826,TMAX,333.63917525773195,1459.0721649484535
267862,OK,19910826,TMIN,188.53608247422682,1459.0721649484535
267872,OK,19910827,PRCP,8.573033707865168,767.6470588235294
267874,OK,19910827,SNOW,0.0,
267877,OK,19910827,TMAX,330.35051546391753,1459.0721649484535
