"Table 2. State energy-related carbon dioxide emissions by year, adjusted (1990–2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
million metric tons of energy related carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Percent,Absolute,Percent,Absolute
New York,206.6,198.9,198,192.7,190.7,196.3,198.8,202.8,202,204.2,210.1,204.9,199.2,209.6,212.2,208.2,190,196.6,187,170.9,172.5,162.6,159.2,160.3,168.1,166,161.9,156.7,-0.242,-49.9,-0.032,-5.2
North Carolina,110.7,110.5,121.1,126.4,121.6,128,139.9,142,141.9,140.5,148.2,143.6,145.2,146.3,149.8,153.9,148.5,154.3,149.2,132.7,142.5,128,120.9,124.2,126.6,120.2,119.6,115,0.039,4.3,-0.038,-4.5
North Dakota,44.5,45.4,47.3,47.4,47.7,47.7,48.5,47.1,48.4,49.6,50.8,51.8,51.5,51.1,49.7,52.6,50.9,52.7,53.1,51.6,52.3,53.7,56.2,56.7,58.7,57.3,54.3,56.2,0.263,11.7,0.034,1.8
Ohio,244.3,242.7,247.6,251.6,247.9,250.3,262.7,257.6,257,256.5,263.4,253.2,259.5,267.3,262.9,270.6,263.5,267.2,260.2,234.7,246.6,234.6,215,228.5,230.6,211.8,205.3,204.3,-0.164,-40,-0.005,-1
Oklahoma,87.2,88.6,91.8,94.5,93.1,94.1,96.6,97.7,96.5,96.1,99.1,100.7,100.9,103,99.2,106,109.3,108.6,111.5,105.5,105,106.7,104,102.5,103.9,100,96,92.7,0.063,5.5,-0.034,-3.3
Oregon,30,33.7,34.6,34.9,36.4,33.8,35.9,35.5,40.8,41.9,40.6,40.5,39,39.4,40.5,40.9,40.1,43.5,42.6,40.6,40.4,36.9,36.6,38.7,37.7,37.7,37.5,38.3,0.279,8.4,0.021,0.8
Pennsylvania,262,254.4,263.5,266.7,264.1,266.6,272.4,273,263.1,261.9,274.3,261.9,268.7,272.3,275.6,278.4,272.9,275.6,267.7,242.1,253.8,246.3,236,244.9,244.8,228.6,215.5,215.3,-0.178,-46.7,-0.001,-0.2
Rhode Island,8.8,10.7,13,10.8,12.8,12,13.4,13.5,13.8,13.2,11.6,12.2,11.6,11.4,10.9,11.1,10.5,11,10.6,11.2,10.9,10.9,10.5,10,10.5,10.8,9.6,10,0.129,1.1,0.038,0.4
South Carolina,60.3,61.6,60.7,65.3,65.4,64.4,68.4,70.7,73.7,76.9,80.4,78.2,79.8,80.3,87.4,85.9,86.3,86.7,84.6,78.9,83.1,79.1,72.7,69.5,73.8,72.1,71.1,68.8,0.142,8.6,-0.032,-2.3
South Dakota,11.8,11.5,11.6,12.3,12.9,12.7,12.7,13.1,12.8,13.4,14.1,13.4,13.8,13.7,13.8,13.2,13.3,13.8,15,14.7,15,14.5,14.9,15.3,15.4,14.1,14.8,14.5,0.227,2.7,-0.023,-0.3
Tennessee,104.1,99.6,105.3,115.7,110.4,117.2,117.9,121.1,120.1,120.8,126.5,124.5,123.9,122.1,123.8,125,127.1,126.8,120.4,101.7,109.1,105.5,99.3,97.6,103,99.3,102.1,97.6,-0.062,-6.5,-0.044,-4.5
Texas,604.8,601.1,608.6,622.3,627,631.5,677.4,700.6,716.5,694.3,713.1,705.3,718.1,711.4,716.7,686.2,686.6,680.2,644.3,610.4,647.3,664.5,661,693.6,690.4,689.7,691.6,706.5,0.168,101.7,0.021,14.9
Utah,54,52.9,54.6,56.2,57.3,57.6,58.4,60.4,63,62,64.7,62.7,62,62.7,65.3,66.8,68.1,70,69.2,64.3,63.5,63.9,61.3,66.4,64.8,63.2,58.4,58.2,0.076,4.1,-0.004,-0.2
Vermont,5.5,5.6,6.1,6.1,6,5.9,6.2,6.4,6.2,6.5,6.7,6.6,6.3,6.6,7,6.8,6.6,6.5,5.9,6.1,5.8,5.8,5.4,5.7,5.8,6.1,5.9,5.8,0.063,0.3,-0.015,-0.1
Virginia,94.6,95.9,97.3,101.3,100.2,102.5,107,109,111.4,113.6,122.3,120.3,118.8,122.8,126.9,128.5,122.1,127.3,116.3,105,108,99.1,97.3,104.2,103.3,102.4,103.3,97.9,0.034,3.2,-0.053,-5.5
Washington,65.9,66.8,73.4,70.3,74.5,72.7,75.6,74.7,75.6,75.8,77.5,77.5,71.1,73.1,74.5,75.4,73,78.5,75.2,72.9,72.9,67.9,67.8,72.3,70.9,72.7,78,78.2,0.188,12.4,0.003,0.2
West Virginia,103,95.4,97.3,98.1,105.6,104.1,106.7,110,113.9,114.8,114.1,103.7,116.8,113.4,110.3,112.4,112.5,114.7,110.7,89.5,100.5,97.7,92.2,94.1,99.8,91.9,94.4,90.8,-0.119,-12.3,-0.039,-3.7
Wisconsin,85.4,87.7,87.1,90,93.1,96,100.2,102.5,100.9,105.3,107.3,105.4,106.5,104.5,107.2,110.3,102.5,104.2,104.7,95.6,97.9,96.9,89.9,100.2,100.5,99.2,95,97.6,0.143,12.2,0.027,2.6
Wyoming,56.7,55,60.9,57.7,59.9,57.7,59.1,58.3,63.4,62.1,62.8,63.2,62,63.9,63.9,63.1,64,66.3,66.9,63.5,65,63.7,66.1,68,65.2,63.2,60.5,60.6,0.069,3.9,0.003,0.2
United States,5038.8,4993.7,5091.7,5182.6,5259.9,5322.5,5510.2,5581,5634.3,5689.2,5862,5760.4,5801.8,5851.8,5971.3,5991.4,5910.8,6001.1,5811.6,5387.4,5585.6,5446.4,5236.9,5362.5,5413.5,5267.1,5174.8,5133.4,0.019,94.7,-0.008,-41.4
